Date,ImpliedVol1Y,Spot,Forward1Y
28/09/2018,7.9975,113.7,110.204
27/09/2018,8.0725,113.38,109.8915
26/09/2018,8.0375,112.73,109.274
25/09/2018,8.1475,112.97,109.5244
24/09/2018,8.1675,112.8,109.3875
21/09/2018,8.19,112.59,109.18
20/09/2018,8.125,112.49,109.0896
19/09/2018,8.1875,112.28,108.867
18/09/2018,8.165,112.36,108.976
17/09/2018,8.15,111.85,108.478
14/09/2018,8.1925,112.06,108.6705
13/09/2018,8.2,111.92,108.5555
12/09/2018,8.255,111.26,107.9044
11/09/2018,8.33,111.63,108.288
10/09/2018,8.355,111.13,107.814
07/09/2018,8.425,110.99,107.6605
06/09/2018,8.4025,110.75,107.48
05/09/2018,8.255,111.53,108.2105
04/09/2018,8.28,111.41,108.12
03/09/2018,8.275,111.07,107.801
31/08/2018,8.3,111.03,107.7655
30/08/2018,8.325,110.98,107.724
29/08/2018,8.18,111.68,108.409
28/08/2018,8.1125,111.19,107.9325
27/08/2018,8.1925,111.08,107.843
24/08/2018,8.245,111.24,108.0127
23/08/2018,8.335,111.29,108.0547
22/08/2018,8.31,110.56,107.3485
21/08/2018,8.275,110.31,107.128
20/08/2018,8.41,110.07,106.8857
17/08/2018,8.48,110.5,107.298
16/08/2018,8.505,110.9,107.681
15/08/2018,8.61,110.74,107.5205
14/08/2018,8.405,111.15,107.9147
13/08/2018,8.555,110.7,107.472
10/08/2018,8.54,110.83,107.62
09/08/2018,8.19,111.08,107.865
08/08/2018,8.1525,110.98,107.7205
07/08/2018,8.105,111.38,108.122
06/08/2018,8.155,111.4,108.1725
03/08/2018,8.2125,111.25,108.0277
02/08/2018,8.225,111.66,108.4175
01/08/2018,8.1575,111.73,108.4682
31/07/2018,8.0075,111.86,108.6175
30/07/2018,8.28,111.04,107.8265
27/07/2018,8.255,111.05,107.8415
26/07/2018,8.295,111.23,108.019
25/07/2018,8.245,110.98,107.7735
24/07/2018,8.36,111.2,108.0195
23/07/2018,8.385,111.35,108.166
20/07/2018,8.305,111.41,108.225
19/07/2018,8.24,112.47,109.2455
18/07/2018,8.15,112.86,109.6016
17/07/2018,8.13,112.88,109.6525
16/07/2018,8.105,112.29,109.0837
13/07/2018,8.16,112.38,109.1775
12/07/2018,8.235,112.55,109.3453
11/07/2018,8.15,112.01,108.8045
10/07/2018,8.02,111,107.826
09/07/2018,7.925,110.85,107.6635
06/07/2018,8.03,110.47,107.3135
05/07/2018,8.1775,110.64,107.4786
04/07/2018,8.29,110.49,107.346
03/07/2018,8.295,110.59,107.4655
02/07/2018,8.29,110.9,107.7233
29/06/2018,8.255,110.76,107.6077
28/06/2018,8.325,110.49,107.337
27/06/2018,8.39,110.26,107.147
26/06/2018,8.355,110.06,106.9268
25/06/2018,8.42,109.77,106.6308
22/06/2018,8.325,109.97,106.7945
21/06/2018,8.37,109.99,106.8457
20/06/2018,8.27,110.36,107.2005
19/06/2018,8.47,110.06,106.8965
18/06/2018,8.245,110.55,107.3675
15/06/2018,8.185,110.66,107.4799
14/06/2018,8.135,110.63,107.4515
13/06/2018,8.185,110.34,107.142
12/06/2018,8.23,110.37,107.1959
11/06/2018,8.31,110.03,106.8605
08/06/2018,8.425,109.55,106.4017
07/06/2018,8.25,109.7,106.5655
06/06/2018,8.18,110.18,107.0167
05/06/2018,8.16,109.79,106.664
04/06/2018,8.16,109.82,106.6725
01/06/2018,8.225,109.54,106.423
31/05/2018,8.34,108.82,105.7467
30/05/2018,8.495,108.91,105.842
29/05/2018,8.57,108.77,105.751
28/05/2018,8.2675,109.42,106.3258
25/05/2018,8.295,109.41,106.3135
24/05/2018,8.4125,109.26,106.1523
23/05/2018,8.365,110.08,106.91
22/05/2018,8.2275,110.9,107.717
21/05/2018,8.22,111.05,107.8767
18/05/2018,8.2325,110.78,107.6475
17/05/2018,8.315,110.77,107.64
16/05/2018,8.3125,110.4,107.2435
15/05/2018,8.2525,110.35,107.235
14/05/2018,8.0975,109.66,106.5973
11/05/2018,8.175,109.39,106.3129
10/05/2018,8.29,109.4,106.3158
09/05/2018,8.335,109.74,106.6279
08/05/2018,8.3425,109.13,106.045
07/05/2018,8.335,109.09,105.9915
04/05/2018,8.3425,109.12,106.0335
03/05/2018,8.365,109.19,106.12
02/05/2018,8.29,109.84,106.72
01/05/2018,8.29,109.86,106.7203
30/04/2018,8.1625,109.34,106.23
27/04/2018,8.195,109.05,105.9555
26/04/2018,8.33,109.3,106.2055
25/04/2018,8.5125,109.43,106.2965
24/04/2018,8.4525,108.82,105.735
23/04/2018,8.4825,108.71,105.6137
20/04/2018,8.23,107.66,104.6165
19/04/2018,8.0825,107.37,104.3545
18/04/2018,8.1325,107.23,104.2115
17/04/2018,8.145,107,104.0025
16/04/2018,8.18,107.12,104.0882
13/04/2018,8.21,107.35,104.3175
12/04/2018,8.285,107.33,104.3207
11/04/2018,8.325,106.79,103.8443
10/04/2018,8.345,107.2,104.2554
09/04/2018,8.355,106.77,103.8438
06/04/2018,8.39,106.93,103.9958
05/04/2018,8.45,107.39,104.415
04/04/2018,8.5,106.78,103.8095
03/04/2018,8.5275,106.61,103.6985
02/04/2018,8.615,105.89,103.0315
30/03/2018,8.6875,106.28,103.3992
29/03/2018,8.7525,106.43,103.5521
28/03/2018,8.8075,106.85,103.9705
27/03/2018,8.7975,105.34,102.4893
26/03/2018,8.79,105.41,102.5105
23/03/2018,8.945,104.74,101.867
22/03/2018,8.865,105.28,102.4145
21/03/2018,8.665,106.05,103.1435
20/03/2018,8.835,106.53,103.56
19/03/2018,8.975,106.1,103.161
16/03/2018,8.8525,106.01,103.057
15/03/2018,8.855,106.34,103.368
14/03/2018,8.715,106.32,103.36
13/03/2018,8.67,106.58,103.6298
12/03/2018,8.6775,106.42,103.4825
09/03/2018,8.6625,106.82,103.8895
08/03/2018,8.89,106.23,103.324
07/03/2018,9.03,106.07,103.143
06/03/2018,8.915,106.13,103.2125
05/03/2018,8.97,106.2,103.2905
02/03/2018,9.2,105.75,102.8694
01/03/2018,8.895,106.24,103.33
28/02/2018,8.6075,106.68,103.715
27/02/2018,8.5025,107.33,104.371
26/02/2018,8.6925,106.93,104.0059
23/02/2018,8.8625,106.89,103.9625
22/02/2018,9.015,106.75,103.8415
21/02/2018,8.9175,107.78,104.801
20/02/2018,8.9975,107.33,104.4195
19/02/2018,9.23,106.59,103.7207
16/02/2018,9.3475,106.21,103.3495
15/02/2018,9.4775,106.13,103.27
14/02/2018,9.385,107.01,104.1206
13/02/2018,9.3025,107.82,104.988
12/02/2018,9.205,108.66,105.7893
09/02/2018,9.6225,108.8,105.942
08/02/2018,9.345,108.74,105.9455
07/02/2018,9.05,109.33,106.531
06/02/2018,9.215,109.56,106.7806
05/02/2018,9.1025,109.09,106.3715
02/02/2018,8.705,110.17,107.3811
01/02/2018,8.5575,109.4,106.6503
31/01/2018,8.595,109.19,106.4485
30/01/2018,8.815,108.78,106.0735
29/01/2018,8.58,108.96,106.2594
26/01/2018,8.575,108.58,105.9101
25/01/2018,8.5325,109.41,106.7525
24/01/2018,8.4475,109.22,106.5605
23/01/2018,8.3175,110.31,107.6325
22/01/2018,8.2275,110.92,108.2278
19/01/2018,8.325,110.77,108.0837
18/01/2018,8.2475,111.11,108.4193
17/01/2018,8.19,111.29,108.5634
16/01/2018,8.1975,110.45,107.7955
15/01/2018,8.3475,110.54,107.9095
12/01/2018,8.2825,111.06,108.4316
11/01/2018,8.15,111.26,108.635
10/01/2018,8.295,111.44,108.81
09/01/2018,7.935,112.65,110.019
08/01/2018,7.895,113.09,110.4615
05/01/2018,8.1025,113.05,110.41
04/01/2018,8.155,112.75,110.106
03/01/2018,8.29,112.51,109.902
02/01/2018,8.44,112.29,109.688
01/01/2018,8.43,112.63,110.0451
29/12/2017,8.42,112.69,110.1107
28/12/2017,8.46,112.87,110.3135
27/12/2017,8.47,113.35,110.7245
26/12/2017,8.51,113.23,110.568
25/12/2017,8.5,113.26,110.5932
22/12/2017,8.4925,113.29,110.639
21/12/2017,8.5225,113.33,110.7165
20/12/2017,8.535,113.4,110.7905
19/12/2017,8.455,112.89,110.3047
18/12/2017,8.4675,112.55,109.966
15/12/2017,8.4925,112.6,109.9686
14/12/2017,8.4625,112.39,109.8245
13/12/2017,8.415,112.54,109.9557
12/12/2017,8.405,113.55,110.9408
11/12/2017,8.75,113.56,110.9808
